Species name,common name,taxa_smaller,taxa_big,present in BC,established in BC,established in Canada,native to part of BC,source region to BC,hitlist (according to Therriault and Webb),ornamental/nursery trade,aquarium pet  trade,live food market,biological supply,aquaculture,fish stocking,recreational boating,bait industry,shipping and ballast,canals and diversions,adjacent region,"if adjacent, where",exotic to NA,invasive in NA,globally invasive,Listed in publications,Risk assessment pubs,impact/other pubs,,,,,,
Acipenser transmontanus ,white sturgeon,sturgeon,fish,,,,,"Oregon, California",,,,,,yes,,,,,,,,no,yes,no,"Crossman 1991, DFO aquaculture liscences",,,,,,,,
Alosa mediocris,Hickory shad,shad,fish,,,,,,No,,,,,,,,,,,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,,
Alosa sapidissima,American shad,shad,fish,,yes,yes,,USA,,,,,,,,,,,,yes,,no,yes,no,"Crossman 1991, BC Ministry List",,,,,,,,
Alternanthera ,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,NA,,299
Ameiurus brunneus,Snail bullhead,bullhead,fish,,,,,,Yes,,,,,,,,,,,yes,Montana,no,yes?,no,Therriault and Webb 2017,Therriault and Webb 2017,Clancy and Bourret 2020,,,,,,
Ameiurus melas,Black bullhead,bullhead,fish,,yes,yes,,,,,,,yes,,,,,,,yes,Montana,no,yes,yes,"Crossman 1991, BC Ministry List, Keller and Lodge 2007",,Clancy and Bourret 2020,,,,,,
Ameiurus natalis,Yellow bullhead,bullhead catfish,fish,yes,,,,,,,,,,,,,,,,yes,Montana,no,yes,no,BC Ministry List,,Clancy and Bourret 2020,,,,,,
Ameiurus nebulosus ,Brown bullhead,bullhead,fish,,yes,yes,,,Yes,,,,,,,,,,,yes,"Montana, Washington",no,yes,yes,"Crossman 1991, Mandrak et al 2014, Therriault and Webb 2017, BC Ministry List",Therriault and Webb 2017,"Clancy and Bourret 2020, Bonar et al. 2005",,,,,,
Ameiurus platycephalus ,Flat bullhead,bullhead,fish,,,,,,Yes,,,,,,,,,,,yes,Montana,no,yes,yes,Therriault and Webb 2017,Therriault and Webb 2017,Clancy and Bourret 2020,,,,,,
Amia calva,bowfin,bowfin,fish,,,,,Ontario,,,,,,,,,,,,,,no,yes,no,Crossman 1991,,,,,,,,
Anguilla rostrata ,American eel,eel,fish,,,yes,,"Newfoundland, Quebec, NY",,,,yes,,,,,,,,,,no,yes,no,"Crossman 1991, Mandrak et al 2014",,,,,,,,
Astronotus ocellatus,Oscar,cichlid,fish,yes,,,,,,,,,,,,,,,,,,yes,yes,yes,BC Ministry List,,,,,,,,
Bellamya chinensis,Chinese Mysterysnail ,mollusc,invertebrate,yes,,yes,no,,,,,,,,,,,,,yes,Washington,yes,yes,yes?,"Schroeder et al. 2014, BC Ministry List",,(Olden et al. 2009),,,,,,
Biomphalaria alexandrina ,,mollusc,invertebrate,,,Unknown ,,,,,yes,,,,,,,,,,,yes,no,no,"Schroeder et al. 2014, DFO SLRA 2014",,,,,,,,
Biomphalaria glabrata ,Bloodfluke Planorb ,mollusc,invertebrate,,,Unknown ,,,,,yes,,,,,,,,,,,yes,yes?,no,"Schroeder et al. 2014, DFO SLRA 2014",,,,,,,,
Biomphalaria pfeifferi ,,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,,,,,yes,no,no,"Schroeder et al. 2014, DFO SLRA 2014",,,,,,,,
Biomphalaria straminea ,,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,,,,,yes,no,yes,"Schroeder et al. 2014, DFO SLRA 2014",,,,,,,,
Bithynia tentaculata ,Faucet Snail ,mollusc,invertebrate,,,yes,,,,,yes,,,,,,,,,yes,Montana,yes,yes,no,Schroeder et al. 2014,Harman 2000; Haynes et al. 2005,Sanland and Pierce 2021,,,,,,
Bosmina coregoni,water flea,cladocera,zooplankton,,,,,,,,,,,,,,,,,yes,Washington,yes,yes,no,,Lee et al. 2016,,,,,,,
Bulinus truncatus ,,mollusc,invertebrate,,,Unknown ,,,,,yes,,,,,,,,,,,yes,no,no,"Schroeder et al. 2014, DFO SLRA 2014",,,,,,,,
Carassius auratus ,Goldfish,Goldfish,fish,,yes,yes,,,,yes,yes,yes,,,,,,,,,,yes,yes,yes,"Crossman 1991, Mandrak et al 2014, Gartner et al. 2011, BC Ministry List, Keller and Lodge 2007, Gertzen et al. 2007",,,,,,,,
Carassius carassius ,Crucian carp,carp,fish,,,no,,,,,,yes,yes,,,,,,,,,yes,no,yes,Mandrak et al 2014,,Roy et al. 2018,,,,,,
Carassius gibelio,Prussian carp,carp,fish,,,,,,,,,,,,,,,,,yes,Alberta,yes,yes,yes,,,Ruppert et al. 2017,,,,,,
Catostomus catostomus,Longnose sucker,sucker,fish,,,,,Alberta,,,,,,,yes,,yes,,,yes,Montana,no,yes?,no,Crossman 1991,,Clancy and Bourret 2020,,,,,,
Catostomus commersonii,White sucker,sucker,fish,,,,,Alberta,,,,,,,yes,,,,,yes,Montana,no,yes,no,Crossman 1991,,Clancy and Bourret 2020,,,,,,
Ceratophyllum demersum,Common hornwort (coontail),hornwort,aquatic plant,yes,,,yes,,,yes,,,,,,,,,,,,yes,yes,yes,"BC Ministry List, Cohen et al. 2007",,,,,,,,
Channa maculata,Blotched snakehead,snakehead,fish,yes,,,,,,,,yes,,,,,,,,,,yes,yes,no,BC Ministry List,,Roy et al. 2018,,,,,,
Chelydra serpentina,Eastern snapping turtle,turtle,reptile,yes,,,yes,,,,,,,,,,,,,,,no,yes,no?,BC Ministry List,,,,,,,,
Cladophora aegagropila ,"moss ball, marimo",(syn. Aegagropila linnaei),aquatic plant,,,,,,,yes,,,,,,,,,,,,yes,no,no,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,,,,,,
Cobitis taenia ,Spined loach,loach,fish,,yes,no,,,,,yes,,,,,,,,,,,yes,no,no,Mandrak et al 2014,,,,,,,,
