Species name,common name,taxa_smaller,taxa_big,present in BC,established in BC,established in Canada,native to part of BC,source region to BC,hitlist (according to Therriault and Webb),ornamental/nursery trade,aquarium pet  trade,live food market,biological supply,aquaculture,fish stocking,recreational boating,bait industry,shipping and ballast,canals and diversions,adjacent region,"if adjacent, where",Listed in publications,Risk assessment pubs,impact/other pubs,notes,notes 2,,,
Pseudacris regilla,Chorus frog,frog,amphibian,yes,,,yes,,,,,,,,,,,,,,,BC Ministry List,,,,,,,
Rana aurora,Red-legged frog,frog,amphibian,yes,,,yes,,,,,,,,,,,,,,,BC Ministry List,,,,,,,
Rana catesbeiana,Bullfrog,frog,amphibian,yes,yes,,no,,,,,,,,,,,,,yes,"Montana, Washington",BC Ministry List,,"Sepulveda and Layhee 2015, Adams 1999",Sepulveda 2018,,,,
Rana clamitans,Green frog,frog,amphibian,yes,yes,,yes,,,,,,,,,,,,,,,BC Ministry List,,,,,,,
Xenopus laevis,African clawed frog,frog,amphibian,,,,,,,,yes,yes,yes,,,,,,,,,Keller and Lodge 2007,,,,,,,
Acorus gramineus,Grassy-leaved sweet flag (Japanese sweetflag) ,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Acorus,sweet flag,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Acorus variegatus,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Aeschynomene fluitans,Giant water sensitive plant,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Agapanthus ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Alternanthera ficoides ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Alternanthera reineckii ,Red Scarlet Temple,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately High,,,,
Alternanthera ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Ammania senegalensis OR Ammannia auriculata,copper leaf ammania,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Ammania,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Anemopsis californica,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Anubias afzelii ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Anubias barteri,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Anubias barteri var. barteri,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately High,,,,
Anubias barteri var. caladifolia,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Anubias barteri var. glabra OR Anubias lanceolata OR Anubias minima,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Anubias barteri var. nana,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Anubias congensis OR Anubias heterophylla,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Anubias gigantean ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Anubias gracilis,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Anubias hastifolia,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Anubias nana ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Anubias,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,,
Aponogeton boivinianus,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Aponogeton capuronii,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Aponogeton crispus OR Aponogeton elongatus,Ruffled Sword Plant,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately Low,,,,
Aponogeton distachyos,water hawthorn,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Keller and Lodge 2007,,,,,,,
Aponogeton longiplumulosus,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Aponogeton madagascariensis,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately Low,,,,
Aponogeton natans,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Aponogeton rigidifolius,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Aponogeton ulvaceus Baker,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately Low,,,,
Aponogeton undulates,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Azolla caroliniana,Eastern mosquito fern,fern,aquatic plant,yes,,,no,,,,,,,,,,,,,,,BC Ministry List,,,,,,,
Azolla filiculoides,Large mosquito fern,fern,aquatic plant,yes,,,no,,,,,,,,,,,,,,,BC Ministry List,,,,,,,
Bacopa australis,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Bacopa caroliniana OR Bacopa amplexicaulis,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately Low,,,,
Bacopa monnieri ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Cohen et al. 2007,,,,,,,
Bacopa myriophylloides OR Herpestis myriophylloides,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Bacopa rotundifolia,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Barclaya longifolia OR Hydrostemma longifolium,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Barclaya,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Bletilla striata,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Blyxa aubertii,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,,
Blyxa japonica,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately Low,,,,
Bolbitis heteroclita,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Bolbitis heudelotii ,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
Butomus umbellatus,Flowering-rush,rush,aquatic plant,yes,,,no,,,,,,,,,,,,,,,BC Ministry List,,,,,,,
Cabomba aquatic,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately Low,,,,
Cabomba caroliniana,,,aquatic plant,,,yes,,,,yes,,,,,,,,,,,,"Keller and Lodge 2007, Cohen et al. 2007 ",,,,,,,
Cabomba palaeformis,,,aquatic plant,,,,,,,yes,,,,,,,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,,
