Species name,common name,taxa_smaller,taxa_big,present in BC,established in BC,established in Canada,native to part of BC,source region to BC,hitlist (according to Therriault and Webb),ornamental/nursery trade,aquarium pet  trade,live food market,biological supply,aquaculture,fish stocking,recreational boating,bait industry,shipping and ballast,canals and diversions,adjacent region,"if adjacent, where",exotic to NA,invasive in NA,globally invasive,Listed in publications,Risk assessment pubs,impact/other pubs,,,,,
Acipenser transmontanus ,white sturgeon,sturgeon,fish,,,,,"Oregon, California",,,,,,yes,,,,,,,,no,yes,no,"Crossman 1991, DFO aquaculture liscences",,,,,,,
Acorus gramineus,Grassy-leaved sweet flag (Japanese sweetflag) ,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,1,
Agapanthus africanus ,lily of the Nile,,plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Low,,,1,
Alosa mediocris,Hickory shad,shad,fish,,,,,,No,,,,,,,,,,,,,no,no,no,Therriault and Webb 2017,Therriault and Webb 2017,,,,,,
Alosa sapidissima,American shad,shad,fish,,yes,yes,,USA,,,,,,,,,,,,yes,,no,yes,no,"Crossman 1991, BC Ministry List",,,,,,,
Alternanthera ,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,299,
Ameiurus brunneus,Snail bullhead,bullhead,fish,,,,,,Yes,,,,,,,,,,,yes,Montana,no,yes?,no,Therriault and Webb 2017,Therriault and Webb 2017,Clancy and Bourret 2020,,,,,
Ameiurus melas,Black bullhead,bullhead,fish,,yes,yes,,,,,,,yes,,,,,,,yes,Montana,no,yes,yes,"Crossman 1991, BC Ministry List, Keller and Lodge 2007",,Clancy and Bourret 2020,,,,,
Ameiurus natalis,Yellow bullhead,bullhead catfish,fish,yes,,,,,,,,,,,,,,,,yes,Montana,no,yes,no,BC Ministry List,,Clancy and Bourret 2020,,,,,
Ameiurus nebulosus ,Brown bullhead,bullhead,fish,,yes,yes,,,Yes,,,,,,,,,,,yes,"Montana, Washington",no,yes,yes,"Crossman 1991, Mandrak et al 2014, Therriault and Webb 2017, BC Ministry List",Therriault and Webb 2017,"Clancy and Bourret 2020, Bonar et al. 2005",,,,,
Ameiurus platycephalus ,Flat bullhead,bullhead,fish,,,,,,Yes,,,,,,,,,,,yes,Montana,no,yes,yes,Therriault and Webb 2017,Therriault and Webb 2017,Clancy and Bourret 2020,,,,,
Amia calva,bowfin,bowfin,fish,,,,,Ontario,,,,,,,,,,,,,,no,yes,no,Crossman 1991,,,,,,,
(Ammania senegalensis OR Ammannia auriculata),copper leaf ammania,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,1,
Anemopsis californica,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,1,
Anguilla australis ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,28,
Anguilla bicolor ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,5,
Anguilla japonica ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,60,
Anguilla rostrata ,American eel,eel,fish,,,yes,,"Newfoundland, Quebec, NY",,,,yes,,,,,,,,,,no,yes,no,"Crossman 1991, Mandrak et al 2014",,,,,,,
Anubias,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately High,,,1,
(Aponogeton crispus OR Aponogeton elongatus),Ruffled Sword Plant,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately Low,,,6,
Aponogeton madagascariensis,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately Low,,,1,
Astronotus ocellatus,Oscar,cichlid,fish,yes,,,,,,,,,,,,,,,,,,yes,yes,yes,BC Ministry List,,,,,,,
Atractosteus spatula ,,,fish,,,,,,,,yes,,,,,,,NA,NA,,,,,,Mandrak et al. 2014,,,not climate match to canada,family climate match ,,5,
Azolla caroliniana,Eastern mosquito fern,fern,aquatic plant,yes,,,no,,,,,,,,,,,NA,NA,,,,,,BC Ministry List,,,,,,6,
Azolla filiculoides,Large mosquito fern,fern,aquatic plant,yes,,,no,,,,,,,,,,,NA,NA,,,,,,BC Ministry List,,,,,,86,
Bacopa australis,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Azan et al. 2015,Azan et al. 2015,,Moderately Low,,,1,
(Bacopa caroliniana OR Bacopa amplexicaulis),,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,"Azan et al. 2015, Cohen et al. 2007",Azan et al. 2015,,Moderately Low,,,11,
Bacopa monnieri ,,,aquatic plant,,,,,,,yes,,,,,,,,NA,NA,,,,,,Cohen et al. 2007,,,,,,9,
