"","Species.name","common.name","taxa_smaller","taxa_big","present.in.BC","established.in.BC","established.in.Canada","native.to.part.of.BC","source.region.to.BC","hitlist..according.to.Therriault.and.Webb.","ornamental.nursery.trade","aquarium.pet..trade","live.food.market","biological.supply","aquaculture","fish.stocking","recreational.boating","bait.industry","shipping.and.ballast","canals.and.diversions","adjacent.region","if.adjacent..where","exotic.to.NA","invasive.in.NA","globally.invasive","Listed.in.publications","Risk.assessment.pubs","impact.other.pubs","X","X.1","X.2","X.3","X.4","wos","wos_pet_trade","wos_live_trade","wos_bait","wos_biol_supply","wos_aquaculture","wos_stocking","wos_boating","wos_shipping","wos_canal","wos_spread_adj","wos_bc","wos_salmon","wos_impact"
"1","Acipenser transmontanus ","white sturgeon","sturgeon","fish","","","","","Oregon, California","","","","","","yes","","","",NA,NA,"","","no","yes","no","Crossman 1991, DFO aquaculture liscences","","","","",NA,NA,"",30,9,1,2,0,84,118,3,3,18,45,31,0,0
"2","Acorus gramineus","Grassy-leaved sweet flag (Japanese sweetflag) ","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,1,"",3,0,0,0,0,1,0,1,0,1,0,0,0,0
"3","Agapanthus africanus ","lily of the Nile","","plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Low","",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Alosa mediocris","Hickory shad","shad","fish","","","","","","No","","","","","","","","",NA,NA,"","","no","no","no","Therriault and Webb 2017","Therriault and Webb 2017","","","",NA,NA,"",0,0,0,0,0,0,5,0,0,0,0,0,0,0
"5","Alosa sapidissima","American shad","shad","fish","","yes","yes","","USA","","","","","","","","","",NA,NA,"yes","","no","yes","no","Crossman 1991, BC Ministry List","","","","",NA,NA,"",35,1,0,0,1,4,108,2,1,3,9,9,1,1
"6","Alternanthera ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately High","",NA,299,"",302,3,1,1,4,15,3,3,0,6,1,0,0,6
"7","Ameiurus brunneus","Snail bullhead","bullhead","fish","","","","","","Yes","","","","","","","","",NA,NA,"yes","Montana","no","yes?","no","Therriault and Webb 2017","Therriault and Webb 2017","Clancy and Bourret 2020","","",NA,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Ameiurus melas","Black bullhead","bullhead","fish","","yes","yes","","","","","","","yes","","","","",NA,NA,"yes","Montana","no","yes","yes","Crossman 1991, BC Ministry List, Keller and Lodge 2007","","Clancy and Bourret 2020","","",NA,NA,"",59,7,0,3,0,7,11,3,0,4,1,1,1,1
"9","Ameiurus natalis","Yellow bullhead","bullhead catfish","fish","yes","","","","","","","","","","","","","",NA,NA,"yes","Montana","no","yes","no","BC Ministry List","","Clancy and Bourret 2020","","",NA,NA,"",8,1,0,1,0,0,5,0,0,1,2,1,0,1
"10","Ameiurus nebulosus ","Brown bullhead","bullhead","fish","","yes","yes","","","Yes","","","","","","","","",NA,NA,"yes","Montana, Washington","no","yes","yes","Crossman 1991, Mandrak et al 2014, Therriault and Webb 2017, BC Ministry List","Therriault and Webb 2017","Clancy and Bourret 2020, Bonar et al. 2005","","",NA,NA,"",53,5,0,1,0,3,12,2,0,4,17,2,1,0
"11","Ameiurus platycephalus ","Flat bullhead","bullhead","fish","","","","","","Yes","","","","","","","","",NA,NA,"yes","Montana","no","yes","yes","Therriault and Webb 2017","Therriault and Webb 2017","Clancy and Bourret 2020","","",NA,NA,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Amia calva","bowfin","bowfin","fish","","","","","Ontario","","","","","","","","","",NA,NA,"","","no","yes","no","Crossman 1991","","","","",NA,NA,"",2,1,1,1,0,1,2,0,0,2,1,0,0,0
"13","(Ammania senegalensis OR Ammannia auriculata)","copper leaf ammania","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately High","",NA,1,"",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Anemopsis californica","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","","","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","",NA,1,"",1,0,0,0,0,1,0,0,0,0,0,0,0,0
"15","Anguilla australis ","","","fish","","","","","","","","yes","","","","","","",NA,NA,"","","","","","Mandrak et al. 2014","","","not climate match to canada","family climate match ",NA,28,"",28,3,0,1,0,13,22,1,2,2,0,1,0,0
