,Species.name,common.name,taxa_smaller,taxa_big,present.in.BC,established.in.BC,established.in.Canada,native.to.part.of.BC,source.region.to.BC,hitlist..according.to.Therriault.and.Webb.,ornamental.nursery.trade,aquarium.pet..trade,live.food.market,biological.supply,aquaculture,fish.stocking,recreational.boating,bait.industry,shipping.and.ballast,canals.and.diversions,adjacent.region,if.adjacent..where,exotic.to.NA,invasive.in.NA,globally.invasive,Listed.in.publications,Risk.assessment.pubs,impact.other.pubs,wos,wos_pet_trade,wos_live_trade,wos_bait,wos_biol_supply,wos_aquaculture,wos_stocking,wos_boating,wos_bc,wos_shipping,wos_canal,wos_spread_adj,sum_vector
169,Dreissena polymorpha ,Zebra Mussel ,mollusc,invertebrate,,,yes,,,,,,,,,,yes,,NA,NA,,,yes,yes,yes,Schroeder et al. 2014,"Therriault et al. 2013, DFO Canadawide RA",,1458,36,3,5,11,65,110,77,2,85,73,7,467
77,Oncorhynchus mykiss ,"Rainbow trout, Steelhead",salmonid,fish,,,yes,,"Ontario, Washington , California, Norway",,,,yes,,yes,,,,NA,NA,yes,"Montana, Washington",no,yes,yes,"Crossman 1991, Mandrak et al 2014, DFO aquaculture liscence",,"Carim et al. 2015, Clancy and Bourret 2020, (Ostberg and Rodriguez 2006; Ostberg and Chase 2012), Bonar et al. 2005, Taylor et al. 2007; Pearon and Goater 2008; Rasmussen et al. 2010, 2012; Hanisch et al. 2012, 2013; Yau and Taylor 2013)",1094,294,27,23,29,3240,2144,26,285,21,96,575,6185
155,Cyprinus carpio ,"Common carp, koi",carp,fish,,yes,yes,,,Yes,,yes,yes,,yes,,,,NA,NA,yes,Washington,yes,yes,yes,"Crossman 1991, Mandrak et al 2014, DFO aquaculture liscence, Therriault and Webb 2017, BC Ministry List",Therriault and Webb 2017,Feeken et al. 2019,872,216,14,38,11,1224,682,21,8,15,67,31,2296
154,Salmo trutta,Brown trout,salmonid,fish,,yes,yes,,,,,,,,,,,,NA,NA,yes,Montana,yes,yes,yes,"Crossman 1991, BC Ministry List",,Clancy and Bourret 2020,730,54,10,10,10,247,1230,9,45,6,44,96,1665
85,Procambarus clarkii,Red Swamp crayfish,crayfish,invertebrate,,,yes,,,,,,,yes,,,,,NA,NA,yes,Washington,no,yes,yes,"Brown and Therriault, Keller and Lodge 2007",(Mueller 2007; Mueller and Bodensteiner 2009; Larson et al. 2017),,690,89,11,30,8,197,77,6,1,6,28,14,453
78,Salmo salar ,Atlantic salmon,salmonid,fish,,yes,yes,,"Washington, Scotland",,,,yes,,yes,,,,NA,NA,yes,Alaska,no,yes,yes,"Crossman 1991, Mandrak et al 2014, DFO aquaculture liscence, BC Ministry List",, (Wing et al. 1992; Piccolo and Orlikowska 2012),587,126,31,16,25,2471,2183,26,188,17,50,108,5133
67,Pacifastacus leniusculus,Signal crayfish,crayfish,invertebrate,yes,yes,yes,,,,,,,,yes,,,,NA,NA,yes,Washington,no,yes,yes,,"(Mueller 2007; Mueller and Bodensteiner 2009; Larson et al. 2017), larson and olden 2013",,486,35,4,10,3,69,87,1,4,2,7,10,222
102,Morone saxatilis x Morone chrysops OR Wiper,Wiper,Bass,fish,,,no,,,,,,yes,,,,,,NA,NA,,,no,,,Mandrak et al 2014,,Roy et al. 2018,479,419,418,419,418,418,423,418,418,422,420,419,4193
162,Oreochromis niloticus,Nile Tilapia,tilapia,fish,,,,,,,,,,,yes,,,,NA,NA,,,yes,yes,yes,DFO aquaculture liscence,,,460,406,10,14,16,1980,975,8,1,2,36,3,3448
146,Corbicula fluminea ,Asian Clam ,mollusc,invertebrate,yes,,yes,no,,,yes,,,,,,,,NA,NA,yes,Washington,yes,yes,yes,"Schroeder et al. 2014, Keller 2007, BC Ministry List; Keller and Lodge 2007",,"Ricciardi 1998; Magara et al. 2001; Cataldo et al. 2012, Dexter et al. 2020, Holbrook et al. 2020, Phelps 1994",453,20,0,2,1,31,22,13,1,29,25,10,144
122,Carassius carassius ,Crucian carp,carp,fish,,,no,,,,,,yes,yes,,,,,NA,NA,,,yes,no,yes,Mandrak et al 2014,,Roy et al. 2018,399,175,7,6,5,413,178,4,1,8,57,13,854
25,Salvelinus fontinalis,Brook trout (eastern),eastern),fish,,yes,yes,,,,,,,,yes,,,,NA,NA,yes,"Montana, Idaho, Washington, Alberta",no,yes,no,"Crossman 1991, DFO aquaculture liscences, BC Ministry List",,"Clancy and Bourret 2020, Benjamin and Baxter 2010, Hofman et al. 2014, (Parker and Schindler 2006; Pacas and Taylor 2015)",351,29,0,6,3,100,408,7,50,2,11,120,616
139,Dreissena bugensis ,Quagga Mussel ,mollusc,invertebrate,,,yes,,,,,,,,,,yes,,NA,NA,,,yes,yes,no,Schroeder et al. 2014,"Therriault et al. 2013, DFO Canadawide RA",,342,5,0,0,1,5,14,24,0,23,19,3,91
80,Micropterus salmoides ,Largemouth bass,bass,fish,,yes,yes,,USA,Yes,,yes,yes,,,,,,NA,NA,yes,"Montana, Idaho, Washington",no,yes,yes,"Crossman 1991, Mandrak et al 2014, Therriault and Webb 2017, BC Ministry List, Keller and Lodge 2007","Therriault and Webb 2017, DFO 2010 BC RA","Clancy and Bourret 2020, Braun and Walser 2011,Christensen and Moore 2010; Hawkins et al. 2020; Marsha et al. 2021, bonar et al. 2005",336,45,4,16,0,92,302,35,6,6,21,33,527
88,Gambusia affinis,Mosquitofish,Mosquitofish,fish,,,yes,,,,,,,,,,,yes,NA,NA,,,no,yes,yes,"Crossman 1991, Keller and Lodge ",,,311,32,5,4,1,28,40,3,1,0,20,3,134
142,Myriophyllum spicatum,Eurasian water-milfoil (spiked),milfoil,aquatic plant,yes,,yes,no,,,yes,yes,,,,,yes,,NA,NA,yes,"Idaho, Washington",yes,yes,yes,"BC Ministry List, Keller and Lodge 2007",,"(Moody and Les 2007; Madsen et al. 2015; Liao et al. 2016, Wagner and Falter 2002, Parsons et al. 2009; Tamayo and Olden 2014; Olden and Tamayo 2014)",304,22,0,3,2,14,23,17,8,4,17,21,110
171,Pomacea canaliculata ,Golden/Channelled Apple Snail ,mollusc,invertebrate,,,No ,,,,,yes,,,,,,,NA,NA,,,yes,yes,yes,"Schroeder et al. 2014, DFO SLRA 2014",Schroeder et al. 2014,,274,23,1,3,0,20,5,1,0,1,10,0,64
161,Carassius auratus ,Goldfish,Goldfish,fish,,yes,yes,,,,yes,yes,yes,,,,,,NA,NA,,,yes,yes,yes,"Crossman 1991, Mandrak et al 2014, Gartner et al. 2011, BC Ministry List, Keller and Lodge 2007, Gertzen et al. 2007",,,271,161,7,4,4,378,143,4,1,8,47,8,757
64,Rana catesbeiana,Bullfrog,frog,amphibian,yes,yes,,no,,,,,,,,,,,NA,NA,yes,"Montana, Washington",no,yes,yes,BC Ministry List,,"Sepulveda and Layhee 2015, Adams 1999",249,20,5,4,1,21,27,1,7,2,18,16,106
164,Hypophthalmichthys molitrix ,Silver carp ,carp,fish,,,,,,Yes,,,,,,,,,NA,NA,,,yes,yes,yes,Therriault and Webb 2017,"Therriault and Webb 2017, DFO Canadawide RA",Roy et al. 2018,247,12,3,4,2,125,141,16,1,4,12,25,320
81,Lepomis gibbosus,Pumpkinseed,sunfish,fish,,yes,yes,,USA,Yes,,,,,,,,,NA,NA,yes,"Montana, Washington",no,yes,yes,"Crossman 1991, Therriault and Webb 2017, BC Ministry List","Therriault and Webb 2017, DFO 2010 BC RA","Clancy and Bourret 2020, Bonar et al. 2005",242,19,1,1,2,2,26,7,5,2,9,8,74
75,Oncorhynchus tshawytscha,Chinook salmon,salmonid,fish,,,,,"Yukon, Oregon, Washington",,,,,,yes,,,,NA,NA,yes,Washington,no,yes,yes,"Crossman 1991, DFO aquaculture liscences",,Jezorek and Connolly 2015,230,20,6,3,3,187,1141,18,371,4,47,628,1800
145,Potamopyrgus antipodarum ,New Zealand Mudsnail ,mollusc,invertebrate,yes,,yes,no,,,,,,,,,,,NA,NA,yes,"Idaho, Washington",yes,yes,yes,"Schroeder et al. 2014, BC Ministry List","Therriault et al. 2011, DFO Canadawide RA",(Richards et al. 2001; Kistner and Dybdahl 2014) (Paolucci and Thuesen 2020),218,7,1,1,1,6,20,2,0,9,7,14,54
