"","Species.name","common.name","taxa_smaller","taxa_big","present.in.BC","established.in.BC","established.in.Canada","native.to.part.of.BC","source.region.to.BC","hitlist..according.to.Therriault.and.Webb.","ornamental.nursery.trade","aquarium.pet..trade","live.food.market","biological.supply","aquaculture","fish.stocking","recreational.boating","bait.industry","shipping.and.ballast","canals.and.diversions","adjacent.region","if.adjacent..where","Listed.in.publications","Risk.assessment.pubs","impact.other.pubs","notes","notes.2","X","X.1","X.2","wos"
"1","Pseudacris regilla","Chorus frog","frog","amphibian","yes","","","yes","","","","","","","","","","",NA,NA,"","","BC Ministry List","","","","","",NA,"",38
"2","Rana aurora","Red-legged frog","frog","amphibian","yes","","","yes","","","","","","","","","","",NA,NA,"","","BC Ministry List","","","","","",NA,"",48
"3","Rana catesbeiana","Bullfrog","frog","amphibian","yes","yes","","no","","","","","","","","","","",NA,NA,"yes","Montana, Washington","BC Ministry List","","Sepulveda and Layhee 2015, Adams 1999","Sepulveda 2018","","",NA,"",249
"4","Rana clamitans","Green frog","frog","amphibian","yes","yes","","yes","","","","","","","","","","",NA,NA,"","","BC Ministry List","","","","","",NA,"",30
"5","Xenopus laevis","African clawed frog","frog","amphibian","","","","","","","","yes","yes","yes","","","","",NA,NA,"","","Keller and Lodge 2007","","","","","",NA,"",623
"6","Acorus gramineus","Grassy-leaved sweet flag (Japanese sweetflag) ","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",1
"7","Acorus","sweet flag","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",18
"8","Acorus variegatus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",0
"9","Aeschynomene fluitans","Giant water sensitive plant","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"10","Agapanthus ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",2
"11","Alternanthera ficoides ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",0
"12","Alternanthera reineckii ","Red Scarlet Temple","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately High","","",NA,"",0
"13","Alternanthera ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",299
"14","Ammania senegalensis OR Ammannia auriculata","copper leaf ammania","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",1
"15","Ammania","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"16","Anemopsis californica","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",1
"17","Anubias afzelii ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"18","Anubias barteri","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"19","Anubias barteri var. barteri","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately High","","",NA,"",0
"20","Anubias barteri var. caladifolia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",0
"21","Anubias barteri var. glabra OR Anubias lanceolata OR Anubias minima","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"22","Anubias barteri var. nana","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",0
"23","Anubias congensis OR Anubias heterophylla","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"24","Anubias gigantean ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"25","Anubias gracilis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"26","Anubias hastifolia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"27","Anubias nana ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",0
"28","Anubias","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",1
"29","Aponogeton boivinianus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"30","Aponogeton capuronii","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"31","Aponogeton crispus OR Aponogeton elongatus","Ruffled Sword Plant","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately Low","","",NA,"",6
"32","Aponogeton distachyos","water hawthorn","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Keller and Lodge 2007","","","","","",NA,"",0
"33","Aponogeton longiplumulosus","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"34","Aponogeton madagascariensis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately Low","","",NA,"",1
"35","Aponogeton natans","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"36","Aponogeton rigidifolius","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"37","Aponogeton ulvaceus Baker","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately Low","","",NA,"",0
"38","Aponogeton undulates","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"39","Azolla caroliniana","Eastern mosquito fern","fern","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","BC Ministry List","","","","","",NA,"",6
"40","Azolla filiculoides","Large mosquito fern","fern","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","BC Ministry List","","","","","",NA,"",86
"41","Bacopa australis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",1
"42","Bacopa caroliniana OR Bacopa amplexicaulis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately Low","","",NA,"",11
"43","Bacopa monnieri ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Cohen et al. 2007","","","","","",NA,"",9
"44","Bacopa myriophylloides OR Herpestis myriophylloides","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"45","Bacopa rotundifolia","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"46","Barclaya longifolia OR Hydrostemma longifolium","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",3
"47","Barclaya","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",1
"48","Bletilla striata","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",4
"49","Blyxa aubertii","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Low","","",NA,"",0
"50","Blyxa japonica","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately Low","","",NA,"",0
"51","Bolbitis heteroclita","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"52","Bolbitis heudelotii ","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",0
"53","Butomus umbellatus","Flowering-rush","rush","aquatic plant","yes","","","no","","","","","","","","","","",NA,NA,"","","BC Ministry List","","","","","",NA,"",31
"54","Cabomba aquatic","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015, Cohen et al. 2007","Azan et al. 2015","","Moderately Low","","",NA,"",41
"55","Cabomba caroliniana","","","aquatic plant","","","yes","","","","yes","","","","","","","",NA,NA,"","","Keller and Lodge 2007, Cohen et al. 2007 ","","","","","",NA,"",39
"56","Cabomba palaeformis","","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately Low","","",NA,"",1
"57","Cabomba piauhyensis OR Cabomba furcata","Red Cabomba Plant","","aquatic plant","","","","","","","yes","","","","","","","",NA,NA,"","","Azan et al. 2015","Azan et al. 2015","","Moderately High","","",NA,"",6
